2026-01-19 17:32:10 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:32:10 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 17:38:52 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 17:38:52 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 17:38:52 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 17:38:52 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 17:38:52 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:38:52 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 17:38:52 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 17:38:52 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 17:38:52 | ERROR    | TyanShanWeight.scale_reader | Ошибка подключения к COM3: could not open port 'COM3': FileNotFoundError(2, 'Не удается найти указанный файл.', None, 2)
2026-01-19 17:38:53 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 17:38:53 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:39:04 | INFO     | TyanShanWeight.config | Конфигурация сохранена в C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:39:04 | INFO     | TyanShanWeight.settings_dialog | Настройки сохранены
2026-01-19 17:39:04 | INFO     | TyanShanWeight.weighing_manager | Конфигурация обновлена
2026-01-19 17:39:08 | INFO     | TyanShanWeight.weighing_manager | Сброс взвешивания
2026-01-19 17:39:11 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 17:39:11 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 17:39:11 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 17:39:11 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 17:39:16 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 17:39:16 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 17:39:16 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 17:39:16 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 17:39:16 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 17:39:16 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 17:39:17 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 17:39:17 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 17:39:17 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 17:39:17 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 17:39:17 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 17:56:00 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 17:56:00 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 17:56:00 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 17:56:00 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 17:56:00 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 17:56:00 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 18:07:37 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 18:07:37 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 18:07:37 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 18:07:37 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 18:07:37 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 18:07:37 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 18:07:37 | INFO     | TyanShanWeight.camera | Создана директория для изображений: images
2026-01-19 18:07:37 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-19 18:07:37 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 18:07:37 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 18:07:37 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 18:07:37 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 18:07:37 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 18:07:58 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 18:07:59 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 18:08:04 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 18:08:04 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 18:09:20 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 18:09:20 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 18:09:25 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 18:09:25 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 18:11:05 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 18:11:05 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 18:11:05 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 18:11:05 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 18:11:05 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 18:11:05 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 18:21:42 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 18:21:42 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 18:21:42 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 18:21:42 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 18:21:42 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 18:21:42 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 18:21:42 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-19 18:21:42 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 18:21:42 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 18:21:42 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 18:23:05 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 18:23:05 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 18:23:05 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 18:23:05 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 18:23:05 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 18:23:05 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 18:23:05 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-19 18:23:05 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 18:23:05 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 18:23:05 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 18:23:06 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 18:23:06 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 18:29:55 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 18:29:56 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 18:30:01 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 18:30:01 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 18:35:09 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 18:35:10 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 18:35:15 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 18:35:15 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 18:41:13 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 18:41:13 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 18:41:13 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 18:41:13 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 18:41:14 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 18:41:14 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 18:41:17 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 18:41:17 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 18:41:17 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 18:41:17 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 18:41:17 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 18:41:17 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 18:41:17 | INFO     | TyanShanWeight.camera | Загружено 4 камер
2026-01-19 18:41:17 | INFO     | TyanShanWeight.weighing_manager | Запуск менеджера взвешивания
2026-01-19 18:41:17 | INFO     | TyanShanWeight.api_client | API клиент запущен
2026-01-19 18:41:17 | INFO     | TyanShanWeight.scale_reader | Подключено к COM4 @ 9600
2026-01-19 18:41:17 | INFO     | TyanShanWeight       | Приложение запущено
2026-01-19 18:41:17 | INFO     | TyanShanWeight.weighing_manager | Весы подключены
2026-01-19 18:51:34 | INFO     | TyanShanWeight.main_window | Закрытие приложения
2026-01-19 18:51:34 | INFO     | TyanShanWeight.weighing_manager | Остановка менеджера взвешивания
2026-01-19 18:51:34 | INFO     | TyanShanWeight.scale_reader | Отключено от COM-порта
2026-01-19 18:51:34 | INFO     | TyanShanWeight.api_client | API клиент остановлен
2026-01-19 18:51:34 | WARNING  | TyanShanWeight.weighing_manager | Весы отключены
2026-01-19 18:51:34 | INFO     | TyanShanWeight       | Приложение завершено с кодом: 0
2026-01-19 18:51:37 | INFO     | TyanShanWeight       | Логирование инициализировано
2026-01-19 18:51:37 | INFO     | TyanShanWeight       | ==================================================
2026-01-19 18:51:37 | INFO     | TyanShanWeight       | Запуск TyanShanWeight
2026-01-19 18:51:37 | INFO     | TyanShanWeight       | Директория: C:\Users\user\Desktop\TyanShanWeight
2026-01-19 18:51:37 | INFO     | TyanShanWeight.config | Конфигурация загружена из C:\Users\user\Desktop\TyanShanWeight\config.json
2026-01-19 18:51:37 | INFO     | TyanShanWeight.database | База данных инициализирована: weighings.db
2026-01-19 18:51:37 | INFO     | TyanShanWeight.camera | Загружено 4 камер
